연번,구인신청일자,모집기간,사업장명,모집직종,고용형태,임금형태,임금,입사형태,요구경력,요구학력,전공계열,요구자격증,사업장주소,기업형태,담당기관,등록일,연락처
1,2023.12.29,2023-12-29~2024-01-31,홍천아산병원,병원행정 사무원(원무),계약직,시급,9860,무관,0년개월,고졸,,    ,강원도 홍천군 홍천읍 산림공원1길 17 (갈마곡리),중소,강원지사,2023.12.29,1588-1519
2,2023.12.29,2023-12-29~2024-03-28,인천광역시교육청,"사무 보조원(국가 및 자치단체, 공공기관)",계약직,시급,9860,무관,무관,무관,,    ,인천광역시 남동구 정각로 9 (구월동),"공사,공공",인천지사,2023.12.29,1588-1519
3,2023.12.29,2023-12-29~2024-01-20,(주)웰템,직업 운동선수,계약직,시급,9860,신입,무관,무관,전기공학,    ,경상남도 창원시 마산회원구 자유무역3길 154 1,중소,경남동부지사,2023.12.29,1588-1519
4,2023.12.29,2023-12-29~2024-01-12,행복한요양병원,요양보호사 보조원,계약직,시급,9860,무관,무관,무관,,    ,"경상남도 창원시 의창구 북면 천주로 785 (동전리, 행복한병원)",중소,경남동부지사,2023.12.29,1588-1519
5,2023.12.29,2023-12-29~2024-01-05,주식회사 브라보비버 대구,식품 포장원,상용직,시급,9860,무관,0년개월,무관,,    ,대구광역시 북구 노원로 50 (노원동3가) 3층 303호,중소,대구지역본부,2023.12.29,1588-1519
6,2023.12.29,2023-12-29~2024-01-31,주식회사 에코프로에이치엔,직업 운동선수,계약직,월급,1200000,무관,0년개월,무관,,    ,충청북도 청주시 청원구 오창읍 과학산업2로 587-40 .,대기업,충북지사,2023.12.29,1588-1519
7,2023.12.29,2023-12-29~2023-12-29,구로구청,"사무 보조원(국가 및 자치단체, 공공기관)",계약직,월급,2060740,무관,무관,무관,,    ,서울특별시 구로구 가마산로 245 신관4층 어르신청소년과 아동보호팀 (구로동),중소,서울남부지사,2023.12.29,1588-1519
8,2023.12.29,2023-12-29~2023-12-29,동작구청,"사무 보조원(국가 및 자치단체, 공공기관)",계약직,월급,2390124,무관,무관,무관,,    ,서울특별시 동작구 장승배기로 161 (노량진동),"공사,공공",서울남부지사,2023.12.29,1588-1519
9,2023.12.29,2023-12-29~2023-12-29,양천구청,"사무 보조원(국가 및 자치단체, 공공기관)",계약직,월급,2060740,무관,무관,무관,,    ,서울특별시 양천구 목동동로 105  (신정동),"공사,공공",서울남부지사,2023.12.29,1588-1519
10,2023.12.29,2023-12-29~2023-12-29,서울특별시강서구청,"사무 보조원(국가 및 자치단체, 공공기관)",계약직,월급,2060740,무관,무관,무관,,    ,서울특별시 강서구 화곡로 302 (화곡동),"공사,공공",서울남부지사,2023.12.29,1588-1519
11,2023.12.29,2023-12-29~2024-01-31,주식회사 호브(HOVE),바리스타,상용직,시급,9860,무관,0년개월,무관,,    ,서울특별시 종로구 종로 33 (청진동) 2층,개인,서울지역본부,2023.12.29,1588-1519
12,2023.12.29,2023-12-29~2024-01-04,(재)울산연구원,"공공시설 경비원(청사, 학교, 병원 등)",계약직,시급,9860,무관,무관,무관,,    ,울산광역시 남구 삼산중로 6 울산발전연구원,"공사,공공",울산지사,2023.12.29,1588-1519
13,2023.12.29,2023-12-29~2023-12-29,관악구청,"사무 보조원(국가 및 자치단체, 공공기관)",계약직,월급,2060740,무관,무관,무관,,    ,서울특별시 관악구 관악로 145 (청룡동) (봉천동),중소,서울남부지사,2023.12.29,1588-1519
14,2023.12.29,2023-12-29~2023-12-29,(주)두루가온누리,환경 미화원,계약직,시급,9860,무관,무관,무관,,    ,인천광역시 부평구 부흥북로36번길 4 (부평동)칠성빌딩 2층,중소,인천지사,2023.12.29,1588-1519
15,2023.12.29,2023-12-29~2024-01-18,주식회사에스엠에스,환경 미화원,계약직,시급,9860,무관,무관,무관,,    ,"인천광역시 계양구 임학동로 38 5층 511호 (임학동, 훼밀리코아)",중소,인천지사,2023.12.29,1588-1519
16,2023.12.29,2023-12-29~2023-12-29,가톨릭대학교 인천성모병원,의료 보조원(간호조무사 제외),계약직,시급,9860,무관,무관,무관,,    ,인천광역시 부평구 동수로 56  (부평동),중소,인천지사,2023.12.29,1588-1519
17,2023.12.29,2023-12-29~2024-01-31,제주대학교병원,공공건물 및 일반건물 안내원,계약직,시급,9620,무관,0년개월,무관,,    ,제주특별자치도 제주시 아란13길 15 (아라일동),대기업,제주지사,2023.12.29,1588-1519
18,2023.12.28,2023-12-28~2024-01-31,충청북도교육청,"사무 보조원(국가 및 자치단체, 공공기관)",계약직,월급,2098000,무관,무관,무관,,    ,"충청북도 청주시 서원구 청남로 1929 (산남동,충청북도교육청)충청북도교육청","공사,공공",충북지사,2023.12.28,1588-1519
19,2023.12.28,2023-12-28~2024-01-31,포항제철공업고등학교,환경 미화원,상용직,시급,9860,무관,무관,무관,,    ,경상북도 포항시 남구 지곡로 150 (지곡동) 포항제철공업고등학교,대기업,경북지사,2023.12.28,1588-1519
20,2023.12.28,2023-12-28~2023-12-31,행복모아 주식회사,작업복 세탁원,상용직,시급,9620,무관,무관,무관,,    ,충청북도 청주시 흥덕구 2순환로742번길 40 청주테크노폴리스 일반산업단지 에프 6-2 (화계동),중소,충북지사,2023.12.28,1588-1519
21,2023.12.28,2023-12-28~2024-01-13,주식회사 그린누리,음료 조리사,상용직,시급,10000,무관,무관,무관,,    ,충청북도 청주시 흥덕구 옥산면 옥산산단3로 9 (옥산면),중소,충북지사,2023.12.28,1588-1519
22,2023.12.28,2023-12-28~2024-01-15,허그컵카페,바리스타,상용직,시급,9860,무관,0년개월,무관,,    ,경기도 화성시 향남읍 도이1길 104 허그컵카페,중소,경기지역본부,2023.12.31,1588-1519
23,2023.12.28,2023-12-28~2024-01-12,(주)현대에쓰엔에쓰,"사무 보조원(국가 및 자치단체, 공공기관)",계약직,월급,1380000,무관,무관,무관,,    ,"서울특별시 종로구 사직로12길 21  (내자동, 광희빌딩)",중소,대전지역본부,2023.12.28,1588-1519
24,2023.12.28,2023-12-28~2024-02-29,의료법인 빛고을의료재단,건물 청소원(클린마스터),상용직,시급,9860,무관,무관,무관,,    ,"광주광역시 동구 화산로 225 (용산동), 기독정신병원",중소,광주지역본부,2023.12.28,1588-1519
25,2023.12.28,2023-12-28~2024-01-12,LG텔레콤고객센터(주)아인텔레서비스,안마사,상용직,월급,1600000,무관,무관,무관,,    ,광주광역시 서구 무진대로 947 (광천동),대기업,광주지역본부,2023.12.28,1588-1519
26,2023.12.28,2023-12-28~2023-12-31,농업회사법인(주)조선무,식품 분야 단순 종사원,상용직,시급,9860,무관,무관,무관,,    ,충청남도 논산시 노성면 장마루로 766-9 농업회사법인(주)조선무,중소,대전지역본부,2023.12.28,1588-1519
27,2023.12.28,2023-12-28~2024-01-05,주식회사 이프리,식품 분야 단순 종사원,상용직,시급,9860,무관,0년개월,무관,,    ,대전광역시 유성구 문지로 291 (문지동) 206호,중소,대전지역본부,2023.12.28,1588-1519
28,2023.12.28,2023-12-28~2024-01-13,한국로지스풀(주),공공행정 사무원,계약직,연봉,30000000,무관,무관,초대졸,,    ,"서울특별시 마포구 마포대로 63-8  (도화동, 삼창프라자 6층)",중소,대전지역본부,2023.12.28,1588-1519
29,2023.12.28,2023-12-28~2023-12-29,금천구청,"사무 보조원(국가 및 자치단체, 공공기관)",계약직,월급,2300000,무관,무관,무관,,    ,서울특별시 금천구 시흥대로73길 70 행정지원과 (9층) (시흥동),"공사,공공",서울남부지사,2023.12.28,1588-1519
30,2023.12.28,2023-12-28~2024-03-27,하이디라오코리아（유）,주방 보조원(일반 음식점),계약직,시급,9860,무관,무관,무관,,    ,"서울특별시 영등포구 경인로 870 하이디라오코리아(유) (영등포동1가, 제이앤에스빌딩)",중소,서울지역본부,2023.12.28,1588-1519
31,2023.12.28,2023-12-28~2024-01-09,현대해상화재보험(주),사무 보조원,계약직,월급,2260000,무관,무관,무관,,    ,서울특별시 종로구 세종대로 163 현대해상빌딩,대기업,서울지역본부,2023.12.28,1588-1519
32,2023.12.28,2023-12-28~2024-02-19,에어프레미아주식회사,영업판매지원사무원,계약직,연봉,28000000,무관,무관,무관,,    ,서울특별시 강서구 공항대로 248 4층 (마곡동),중소,서울남부지사,2023.12.28,1588-1519
33,2023.12.28,2023-12-28~2024-01-07,(주)씨제이이엔엠,모니터 요원,계약직,연봉,12012000,무관,무관,무관,,    ,서울특별시 서초구 과천대로 870-13 (방배동),대기업,서울동부지사,2023.12.28,1588-1519
34,2023.12.28,2023-12-28~2023-12-31,사회적협동조합 내일도함께,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",시간제,시급,9620,무관,0년개월,무관,,    ,경기도 안산시 단원구 산단로 296 (원시동) 325호,개인,경기서부지사,2023.12.28,1588-1519
35,2023.12.28,2023-12-28~2024-01-30,한국자동차연구원,직업 운동선수,계약직,월급,1200000,무관,무관,무관,,    ,충청남도 천안시 동남구 풍세면 풍세로 303 한국자동차연구원(구:자동차부품연구원),대기업,충남지사,2023.12.28,1588-1519
36,2023.12.28,2023-12-28~2024-01-31,충주교육지원청,"사무 보조원(국가 및 자치단체, 공공기관)",계약직,월급,2098000,무관,0년개월,무관,,    ,충청북도 충주시 봉현로 170 (교현동),"공사,공공",충북지사,2023.12.28,1588-1519
37,2023.12.27,2023-12-27~2024-01-16,(재)경북테크노파크,건물 청소원(클린마스터),계약직,연봉,24967000,무관,무관,무관,,    ,경상북도 경산시 삼풍로 27 (재)경북테크노파크,"공사,공공",대구지역본부,2023.12.27,1588-1519
38,2023.12.27,2023-12-27~2024-01-11,한국에너지공단,환경 미화원,상용직,월급,2041000,신입,무관,무관,,    ,울산광역시 중구 종가로 323 (우정동),"공사,공공",울산지사,2023.12.27,1588-1519
39,2023.12.27,2023-12-27~2024-01-31,광주광역시남구청,"사무 보조원(국가 및 자치단체, 공공기관)",계약직,시급,9860,무관,무관,무관,,    ,광주광역시 남구 봉선로 1 (주월동),"공사,공공",광주지역본부,2023.12.27,1588-1519
40,2023.12.27,2023-12-27~2024-01-31,엠마우스복지관,요양보호사 보조원,계약직,시급,9860,무관,무관,무관,,    ,광주광역시 북구 북문대로20번길 38 엠마우스복지관,중소,광주지역본부,2023.12.27,1588-1519
41,2023.12.27,2023-12-27~2024-01-31,곡성군청,"사무 보조원(국가 및 자치단체, 공공기관)",계약직,시급,9860,무관,0년개월,무관,,    ,전라남도 곡성군 곡성읍 군청로 50 (읍내리),"공사,공공",광주지역본부,2023.12.27,1588-1519
42,2023.12.27,2023-12-27~2024-02-29,구례군청,"사무 보조원(국가 및 자치단체, 공공기관)",계약직,시급,9860,무관,0년개월,무관,,    ,"전라남도 구례군 구례읍 봉성로 1 (봉남리), 구례군청",중소,광주지역본부,2023.12.27,1588-1519
43,2023.12.27,2023-12-27~2024-01-31,광주광역시 동구청,"사무 보조원(국가 및 자치단체, 공공기관)",계약직,시급,9860,무관,0년개월,무관,,    ,광주광역시 동구 서남로 1 (서석동),"공사,공공",광주지역본부,2023.12.27,1588-1519
44,2023.12.27,2023-12-27~2024-01-31,담양군청,"사무 보조원(국가 및 자치단체, 공공기관)",계약직,시급,9860,무관,무관,무관,,    ,"전라남도 담양군 담양읍 추성로 1371 (객사리), 담양군청","공사,공공",광주지역본부,2023.12.27,1588-1519
45,2023.12.27,2023-12-27~2024-01-31,광주광역시서구청,"사무 보조원(국가 및 자치단체, 공공기관)",계약직,시급,9860,무관,무관,무관,,    ,광주광역시 서구 경열로 33 광주 서구청(농성동),"공사,공공",광주지역본부,2023.12.27,1588-1519
46,2023.12.27,2023-12-27~2024-01-31,장성군청,"사무 보조원(국가 및 자치단체, 공공기관)",계약직,시급,9860,무관,0년개월,무관,,    ,"전라남도 장성군 장성읍 영천로 200 (영천리), 장성군청 총무과","공사,공공",광주지역본부,2023.12.27,1588-1519
47,2023.12.27,2023-12-27~2024-01-31,광주광역시장애인체육회,총무 및 일반 사무원,상용직,시급,9860,무관,무관,무관,,    ,광주광역시 서구 금화로 278 광주장애인국민체육센터 (풍암동),중소,광주지역본부,2023.12.27,1588-1519
48,2023.12.27,2023-12-27~2024-01-31,광주광역시 동구장애인복지관,"사무 보조원(국가 및 자치단체, 공공기관)",계약직,시급,9860,무관,무관,무관,전기공학,    ,광주광역시 동구 백서로198번길 7 광주광역시동구장애인복지관 (서석동),중소,광주지역본부,2023.12.27,1588-1519
49,2023.12.27,2023-12-27~2024-01-31,(사)대한안마사협회광주지부,안마사,계약직,시급,9860,무관,무관,무관,,    ,광주광역시 남구 구성로 98  (서동),중소,광주지역본부,2023.12.27,1588-1519
50,2023.12.27,2023-12-27~2023-12-31,경상북도교육청영일도서관,사서,상용직,시급,9860,무관,0년개월,무관,,    ,경상북도 포항시 북구 흥해읍 흥해로 101 영일도서관,"공사,공공",경북지사,2023.12.27,1588-1519
51,2023.12.27,2023-12-27~2024-01-12,강서공업고등학교,환경 미화원,계약직,시급,11415,무관,0년개월,무관,,    ,서울특별시 강서구 방화대로47길 9 (방화동),"공사,공공",서울남부지사,2023.12.27,1588-1519
52,2023.12.27,2023-12-27~2024-01-31,(주)교원프라퍼티,사무 보조원,계약직,시급,9860,무관,무관,무관,,    ,서울특별시 중구 을지로30길 51 . (오장동),대기업,서울지역본부,2023.12.27,1588-1519
53,2023.12.27,2023-12-27~2024-01-12,주식회사 늘조은,식품 포장원,시간제,시급,9620,무관,무관,무관,,    ,울산광역시 울주군 온양읍 망양3길 11-24 .,개인,울산지사,2023.12.27,1588-1519
54,2023.12.27,2023-12-27~2024-01-12,(주)경빈(이지요 더파크),건물 청소원(클린마스터),시간제,시급,9620,무관,0년개월,무관,,    ,부산광역시 강서구 신호산단1로72번길 54 (신호동),중소,부산지역본부,2023.12.27,1588-1519
55,2023.12.27,2023-12-27~2024-01-26,(주)성도피엔에이,건물 청소원(클린마스터),계약직,월급,1932560,무관,무관,무관,,    ,경기도 성남시 분당구 성남대로 69 로드랜드이지타워 609호 (구미동),중소,서울남부지사,2023.12.27,1588-1519
56,2023.12.27,2023-12-27~2024-02-29,(주)파리크라상 라그릴리아 현대시티몰 가든파이브점,주방 보조원(일반 음식점),상용직,월급,2094180,무관,0년개월,무관,,    ,서울특별시 송파구 충민로 66 (문정동) 5층,대기업,서울동부지사,2023.12.27,1588-1519
57,2023.12.27,2023-12-27~2024-02-23,쿠팡 주식회사,건물 청소원(클린마스터),계약직,월급,1220000,무관,무관,무관,,    ,서울특별시 송파구 송파대로 570 타워730(신천동),대기업,서울동부지사,2023.12.27,1588-1519
58,2023.12.27,2023-12-27~2024-02-23,쿠팡 주식회사,환경 미화원,계약직,월급,1220000,무관,무관,무관,,    ,서울특별시 송파구 송파대로 570 타워730(신천동),대기업,서울동부지사,2023.12.27,1588-1519
59,2023.12.27,2023-12-27~2024-02-23,쿠팡 주식회사,기타 서비스 단순종사원,계약직,월급,1220000,무관,무관,무관,,    ,서울특별시 송파구 송파대로 570 타워730(신천동),대기업,서울동부지사,2023.12.27,1588-1519
60,2023.12.27,2023-12-27~2024-02-23,쿠팡 주식회사,환경·청소 관리자,계약직,월급,1220000,무관,무관,무관,,    ,서울특별시 송파구 송파대로 570 타워730(신천동),대기업,서울동부지사,2023.12.27,1588-1519
61,2023.12.27,2023-12-27~2023-12-29,(주)삼성생명금융서비스보험대리점,사무 보조원,계약직,연봉,14000000,무관,0년개월,무관,,    ,"서울특별시 중구 서소문로 88 (순화동) (순화동, 중앙일보빌딩) 4층",대기업,서울동부지사,2023.12.27,1588-1519
62,2023.12.27,2023-12-27~2023-12-29,성신여자대학교,도서 정리원 및 사서보조원,계약직,월급,780000,무관,무관,무관,,    ,서울특별시 성북구 동선동3가 성신여자대학교 249-1,대기업,서울북부지사,2023.12.27,1588-1519
63,2023.12.27,2023-12-27~2023-12-29,상계중학교,환경 미화원,계약직,시급,12030,무관,0년개월,무관,,    ,서울특별시 노원구 노원로 398 (상계동),"공사,공공",서울북부지사,2023.12.27,1588-1519
64,2023.12.27,2023-12-27~2023-12-29,노원고등학교,환경 미화원,계약직,시급,12030,무관,0년개월,무관,,    ,서울특별시 노원구 노원로 586 (상계동),"공사,공공",서울북부지사,2023.12.27,1588-1519
65,2023.12.27,2023-12-27~2024-01-05,푸르메여주팜주식회사,기타 서비스 단순종사원,상용직,시급,9860,무관,무관,무관,,    ,"경기도 여주시 도예로 247  (오학동, 푸르메소셜팜)",중소,경기동부지사,2023.12.27,1588-1519
66,2023.12.27,2023-12-27~2024-01-12,(주)아발론교육,사무 보조원,상용직,월급,1030370,무관,무관,고졸,,    ,경기도 성남시 분당구 성남대로 389 (정자동),중소,경기동부지사,2023.12.27,1588-1519
67,2023.12.27,2023-12-27~2024-01-31,주식회사 엣셀,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",상용직,월급,3300000,무관,0년개월,무관,,    ,충청남도 아산시 배방읍 광장로 177-10 524호,중소,충남지사,2023.12.27,1588-1519
68,2023.12.27,2023-12-27~2024-01-31,광주광역시지적발달장애인복지협회,요양보호사 보조원,계약직,시급,9860,무관,0년개월,무관,,    ,광주광역시 남구 금당로 141 (주월동),"협회,단체",광주지역본부,2023.12.27,1588-1519
69,2023.12.26,2023-12-26~2024-01-31,충청북도교육청,환경 미화원,상용직,월급,1090000,무관,무관,무관,,    ,"충청북도 청주시 서원구 청남로 1929 (산남동,충청북도교육청)충청북도교육청","공사,공공",충북지사,2023.12.26,1588-1519
70,2023.12.26,2023-12-26~2024-01-15,주식회사 다울시스템,건물 청소원(클린마스터),계약직,시급,9620,무관,무관,무관,,    ,경기도 하남시 신장로 58 우성빌딩 4층. (천현동),중소,강원지사,2023.12.26,1588-1519
71,2023.12.26,2023-12-26~2024-02-25,한국로지스풀(주),사무 보조원,계약직,연봉,30000000,무관,무관,무관,,    ,"서울특별시 마포구 마포대로 63-8  (도화동, 삼창프라자 6층)",중소,강원지사,2023.12.26,1588-1519
72,2023.12.26,2023-12-26~2024-01-31,의료법인성지의료재단,섬유·의복 분야 단순 종사원,계약직,월급,1300000,무관,0년개월,무관,,    ,강원도 원주시 원일로 22 성지병원 (인동),중소,강원지사,2023.12.26,1588-1519
73,2023.12.26,2023-12-26~2023-12-31,제주특별자치도교육청,연주가 및 연주단원,상용직,월급,1484900,무관,무관,무관,,    ,제주특별자치도 제주시 문연로 5 제주특별자치도교육청 (연동),"공사,공공",제주지사,2023.12.26,1588-1519
74,2023.12.26,2023-12-26~2024-01-31,(주)이화클리닝,세탁보조원,상용직,시급,9860,무관,0년개월,무관,,    ,경상남도 김해시 진영읍 본산로110번길 14 이화클리닝,중소,경남동부지사,2023.12.26,1588-1519
75,2023.12.26,2023-12-26~2023-12-31,경남지체장애인협회사천시지회,택시 운전원,계약직,시급,9620,무관,무관,무관,,    ,경상남도 사천시 노대길 178 (노룡동),"협회,단체",경남동부지사,2023.12.26,1588-1519
76,2023.12.26,2023-12-26~2024-01-02,가축위생방역지원본부,"사무 보조원(국가 및 자치단체, 공공기관)",계약직,월급,1070000,무관,무관,무관,,    ,경상남도 창원시 마산회원구 3·15대로 940 동마산KT 시내동 2층 (구암동),중소,경남동부지사,2023.12.26,1588-1519
77,2023.12.26,2023-12-26~2023-12-31,창원지방검찰청진주지청,환경 미화원,상용직,시급,9620,무관,0년개월,무관,,    ,경상남도 진주시 진양호로 301 (신안동),"공사,공공",경남동부지사,2023.12.26,1588-1519
78,2023.12.26,2023-12-26~2024-03-25,거성산업,세탁보조원,상용직,시급,9860,무관,0년개월,무관,,    ,대구광역시 동구 경안로 722-1 (동호동) (),중소,대구지역본부,2023.12.26,1588-1519
79,2023.12.26,2023-12-26~2024-01-31,KMG(거명),의료기기·장비 설치·수리원,상용직,시급,9860,무관,0년개월,무관,,    ,부산광역시 사하구 하신번영로 419 (하단동)5층,개인,부산지역본부,2023.12.26,1588-1519
80,2023.12.26,2023-12-26~2024-02-28,씨티재활의학과요양병원,기타 보건·의료 서비스 종사원,상용직,시급,9860,무관,무관,무관,,    ,광주광역시 남구 입하길 12-1 (송하동),개인,광주지역본부,2023.12.26,1588-1519
81,2023.12.26,2023-12-26~2024-01-31,주식회사 우연시스템,기타 전자 부품·제품 조립·검사원,상용직,시급,9620,무관,무관,무관,,    ,"광주광역시 서구 유덕로142번길 22-44  (덕흥동, 우연빌딩)",중소,광주지역본부,2023.12.26,1588-1519
82,2023.12.26,2023-12-26~2023-12-29,인천광역시남부교육지원청,"사무 보조원(국가 및 자치단체, 공공기관)",계약직,시급,9860,무관,무관,무관,,    ,인천광역시 중구 차이나타운로51번길 45 (송학동1가),"공사,공공",인천지사,2023.12.26,1588-1519
83,2023.12.26,2023-12-26~2023-12-26,수원특별시청,"사무 보조원(국가 및 자치단체, 공공기관)",계약직,월급,1050000,무관,무관,무관,,    ,경기도 수원시 팔달구 효원로 241 수원시청 별관 4층 세정과 세정팀 (인계동),중소,경기지역본부,2023.12.26,1588-1519
84,2023.12.26,2023-12-26~2023-12-30,화성시청,"사무 보조원(국가 및 자치단체, 공공기관)",계약직,월급,540000,무관,무관,무관,,    ,경기도 화성시 남양읍 시청로 159 화성시청,중소,경기지역본부,2023.12.26,1588-1519
85,2023.12.26,2023-12-26~2023-12-26,평택시청,"사무 보조원(국가 및 자치단체, 공공기관)",계약직,월급,1100000,무관,무관,무관,,    ,경기도 평택시 경기대로 245 245(비전동) (비전동),"공사,공공",경기지역본부,2023.12.26,1588-1519
86,2023.12.26,2023-12-26~2023-12-26,안성시청,"사무 보조원(국가 및 자치단체, 공공기관)",계약직,월급,1010000,무관,무관,무관,,    ,경기도 안성시 시청길 25 25 (봉산동),"공사,공공",경기지역본부,2023.12.26,1588-1519
87,2023.12.26,2023-12-26~2023-12-26,오산시청,"사무 보조원(국가 및 자치단체, 공공기관)",계약직,월급,538720,무관,무관,무관,,    ,경기도 오산시 성호대로 141 141 (오산동),중소,경기지역본부,2023.12.26,1588-1519
88,2023.12.26,2023-12-26~2023-12-27,리젠정형외과의원,기타 보건·의료 서비스 종사원,상용직,월급,1005290,무관,0년개월,무관,,    ,대전광역시 유성구 계백로 927 리젠정형외과  (원내동),중소,대전지역본부,2023.12.27,1588-1519
89,2023.12.26,2023-12-26~2024-01-20,옥천군건강안마원,안마사,상용직,월급,2060740,무관,0년개월,무관,,    ,충청북도 옥천군 옥천읍 금장로 25 2층,중소,충북지사,2023.12.26,1588-1519
90,2023.12.26,2023-12-26~2024-01-01,경상북도교육청영양도서관,도서 정리원 및 사서보조원,계약직,시급,9860,무관,0년개월,무관,,    ,경상북도 영양군 영양읍 팔수로 538 1층,"공사,공공",경북지사,2023.12.26,1588-1519
91,2023.12.26,2023-12-26~2024-01-10,재단법인한국공예디자인문화진흥원,"사무 보조원(국가 및 자치단체, 공공기관)",계약직,연봉,32094240,무관,무관,무관,,    ,"서울특별시 종로구 율곡로 53 5층 501호 (안국동, 해영회관)",중소,서울지역본부,2023.12.27,1588-1519
92,2023.12.26,2023-12-26~2023-12-31,(주)일지테크,공장경비원,계약직,월급,2400000,무관,무관,무관,,    ,경상북도 경산시 진량읍 공단4로 50 경상북도 경산시 진량읍 공단4로 50 (주)일지테크,중소,울산지사,2023.12.26,1588-1519
93,2023.12.26,2023-12-26~2023-12-29,찬솔사회적협동조합,"제품 포장원(섬유, 전기전자, 식품 제외)",계약직,시급,9620,무관,0년개월,무관,,    ,울산광역시 북구 대안4길 60 찬솔사회적협동조합(대안동),중소,울산지사,2023.12.26,1588-1519
94,2023.12.26,2023-12-26~2024-01-01,에스엔시주식회사,아파트·빌라 경비원,계약직,월급,1631700,신입,무관,무관,,    ,"부산광역시 동구 자성공원로 23  (범일동, KT부산정보통신센터)",중소,부산지역본부,2023.12.26,1588-1519
95,2023.12.26,2023-12-26~2023-12-29,사단법인한국선원장애인복지협회,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",계약직,시급,9620,무관,무관,무관,,    ,"부산광역시 부산진구 범일로154번길 33 2층(범천동, 범일역풍림아이원)","협회,단체",부산지역본부,2023.12.26,1588-1519
96,2023.12.26,2023-12-26~2024-01-19,주식회사청원그룹,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",상용직,시급,9620,무관,무관,무관,,    ,부산광역시 기장군 정관읍 정관상곡1길 84 .,중소,부산지역본부,2023.12.26,1588-1519
97,2023.12.26,2023-12-26~2024-01-31,애슐리퀸즈 2001 분당점,주방 보조원(일반 음식점),계약직,시급,9860,무관,0년개월,무관,,    ,경기도 성남시 분당구 미금일로154번길 20 (구미동),대기업,서울남부지사,2023.12.26,1588-1519
98,2023.12.26,2023-12-26~2024-01-27,의료법인은성의료재단좋은삼선병원,기타 보건·의료 서비스 종사원,계약직,시급,9860,무관,무관,무관,,    ,부산광역시 사상구 가야대로 326 좋은삼선병원 (주례동),중소,부산지역본부,2023.12.27,1588-1519
99,2023.12.26,2023-12-26~2023-12-31,우영식품,식품 제조 및 가공 보조원,상용직,시급,9620,무관,무관,무관,,    ,부산광역시 금정구 회천로32번길 25 (회동동),중소,부산지역본부,2023.12.26,1588-1519
100,2023.12.26,2023-12-26~2024-02-25,(주)제일산업,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",상용직,시급,9860,무관,무관,무관,,    ,경상북도 칠곡군 지천면 창평로 67-4 507,중소,대구지역본부,2023.12.26,1588-1519
101,2023.12.26,2023-12-26~2024-01-30,(주)부흥산업,세탁원,상용직,시급,9620,무관,무관,무관,,    ,경상북도 영천시 금호읍 오계공단길 21 .,중소,대구지역본부,2023.12.26,1588-1519
102,2023.12.26,2023-12-26~2024-01-31,경북대학교치과병원,기타 보건·의료 서비스 종사원,계약직,시급,9620,무관,무관,무관,,    ,대구광역시 중구 달구벌대로 2175 경북대학교치과병원  (삼덕동2가),"공사,공공",대구지역본부,2023.12.29,1588-1519
103,2023.12.26,2023-12-26~2024-01-31,(주)정희씨앤씨,사무 보조원,상용직,월급,1030370,무관,무관,무관,,    ,경기도 하남시 조정대로 150 아이테코 오렌지존 10층 1022호 (덕풍동),대기업,경기동부지사,2023.12.26,1588-1519
104,2023.12.26,2023-12-26~2024-01-03,(주)한섬,경영 기획 사무원,계약직,시급,9860,무관,무관,무관,시각디자인,    ,서울특별시 강남구 도산대로 523 (청담동) 한섬빌딩,대기업,서울동부지사,2023.12.26,1588-1519
105,2023.12.26,2023-12-26~2024-01-03,(주)한섬,매장 정리원(매장 보조원),계약직,시급,9860,무관,무관,무관,시각디자인,    ,서울특별시 강남구 도산대로 523 (청담동) 한섬빌딩,대기업,서울동부지사,2023.12.26,1588-1519
106,2023.12.26,2023-12-26~2023-12-31,(주)키다리스튜디오,환경 미화원,상용직,시급,9620,무관,0년개월,무관,,    ,서울특별시 마포구 독막로 311 (염리동) 재회스퀘어 12층,중소,서울북부지사,2023.12.26,1588-1519
107,2023.12.26,2023-12-26~2024-01-31,(주)실리콘투,환경 미화원,상용직,월급,1100000,무관,0년개월,무관,,    ,"경기도 성남시 분당구 판교역로 231 에스동 905, 906, 907, 911호 (삼평동, 에이치스퀘어)",중소,경기동부지사,2023.12.26,1588-1519
108,2023.12.26,2023-12-26~2024-01-31,해강의료재단,환경 미화원,상용직,월급,2060740,무관,무관,무관,,    ,경기도 광주시 초월읍 경충대로 974-56 위더스요양병원 신관,중소,경기동부지사,2023.12.26,1588-1519
109,2023.12.26,2023-12-26~2024-01-31,국제유통(주),식품 분야 단순 종사원,상용직,월급,2060740,무관,0년개월,무관,,    ,경기도 광주시 초월읍 두월길55번길 25-21 국제유통(주),중소,경기동부지사,2023.12.26,1588-1519
110,2023.12.26,2023-12-26~2024-01-10,(주)삼원가든,주방 보조원(일반 음식점),상용직,시급,9620,무관,무관,무관,,    ,서울특별시 강남구 영동대로 237 (대치동),개인,경기동부지사,2023.12.26,1588-1519
